DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1342,Ondansetron,DDInter776,Formoterol,Moderate
DDInter1375,Oxytocin,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter1533,Promethazine,Moderate
DDInter1538,Propofol,DDInter776,Formoterol,Moderate
DDInter1539,Propranolol,DDInter776,Formoterol,Major
DDInter1635,Salmeterol,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter1664,Sevoflurane,Moderate
DDInter776,Formoterol,DDInter1679,Sitagliptin,Moderate
DDInter1769,Terbutaline,DDInter776,Formoterol,Moderate
DDInter1809,Timolol,DDInter776,Formoterol,Major
DDInter1821,Tizanidine,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter45,Alimemazine,Moderate
DDInter1941,Vitamin A,DDInter598,Doxycycline,Major
DDInter195,Betamethasone,DDInter1010,Ketorolac,Moderate
DDInter1010,Ketorolac,DDInter246,Budesonide,Moderate
DDInter1010,Ketorolac,DDInter513,Dexamethasone,Moderate
DDInter1010,Ketorolac,DDInter885,Hydrocortisone,Moderate
DDInter1010,Ketorolac,DDInter900,Ibuprofen,Major
DDInter1010,Ketorolac,DDInter1513,Prednisolone,Moderate
DDInter195,Betamethasone,DDInter1291,Nifedipine,Moderate
DDInter1291,Nifedipine,DDInter246,Budesonide,Moderate
DDInter1291,Nifedipine,DDInter513,Dexamethasone,Moderate
DDInter885,Hydrocortisone,DDInter1291,Nifedipine,Moderate
DDInter900,Ibuprofen,DDInter1291,Nifedipine,Moderate
DDInter1513,Prednisolone,DDInter1291,Nifedipine,Moderate
DDInter1533,Promethazine,DDInter1291,Nifedipine,Moderate
DDInter1291,Nifedipine,DDInter45,Alimemazine,Moderate
DDInter652,Epinephrine,DDInter1632,Salbutamol,Moderate
DDInter652,Epinephrine,DDInter77,Amisulpride,Moderate
DDInter78,Amitriptyline,DDInter652,Epinephrine,Major
DDInter130,Atenolol,DDInter652,Epinephrine,Moderate
DDInter216,Bisoprolol,DDInter652,Epinephrine,Moderate
DDInter652,Epinephrine,DDInter305,Carvedilol,Major
DDInter363,Chlorpromazine,DDInter652,Epinephrine,Moderate
DDInter652,Epinephrine,DDInter474,Dapagliflozin,Moderate
DDInter554,Digoxin,DDInter652,Epinephrine,Moderate
DDInter557,Dihydroergotamine,DDInter652,Epinephrine,Major
DDInter825,Glimepiride,DDInter652,Epinephrine,Moderate
DDInter652,Epinephrine,DDInter826,Glipizide,Moderate
DDInter853,Haloperidol,DDInter652,Epinephrine,Moderate
DDInter652,Epinephrine,DDInter1054,Levodopa,Moderate
DDInter652,Epinephrine,DDInter1070,Linagliptin,Moderate
DDInter1073,Linezolid,DDInter652,Epinephrine,Major
DDInter1164,Metformin,DDInter652,Epinephrine,Moderate
DDInter652,Epinephrine,DDInter1185,Methyldopa,Moderate
DDInter1187,Methylergometrine,DDInter652,Epinephrine,Major
DDInter1200,Metoprolol,DDInter652,Epinephrine,Moderate
DDInter652,Epinephrine,DDInter1271,Nebivolol,Moderate
DDInter1326,Olanzapine,DDInter652,Epinephrine,Moderate
DDInter1375,Oxytocin,DDInter652,Epinephrine,Moderate
DDInter652,Epinephrine,DDInter1533,Promethazine,Moderate
DDInter1539,Propranolol,DDInter652,Epinephrine,Major
DDInter652,Epinephrine,DDInter1605,Risperidone,Moderate
DDInter652,Epinephrine,DDInter1635,Salmeterol,Moderate
DDInter652,Epinephrine,DDInter1664,Sevoflurane,Major
DDInter652,Epinephrine,DDInter1679,Sitagliptin,Moderate
DDInter652,Epinephrine,DDInter1769,Terbutaline,Moderate
DDInter1809,Timolol,DDInter652,Epinephrine,Major
DDInter652,Epinephrine,DDInter45,Alimemazine,Moderate
DDInter56,Alteplase,DDInter900,Ibuprofen,Moderate
DDInter66,Amikacin,DDInter900,Ibuprofen,Moderate
DDInter79,Amlodipine,DDInter900,Ibuprofen,Moderate
DDInter20,Acetylsalicylic acid,DDInter900,Ibuprofen,Major
DDInter130,Atenolol,DDInter900,Ibuprofen,Moderate
DDInter195,Betamethasone,DDInter900,Ibuprofen,Moderate
DDInter216,Bisoprolol,DDInter900,Ibuprofen,Moderate
DDInter900,Ibuprofen,DDInter246,Budesonide,Moderate
DDInter900,Ibuprofen,DDInter292,Captopril,Moderate
DDInter900,Ibuprofen,DDInter305,Carvedilol,Moderate
DDInter336,Celecoxib,DDInter900,Ibuprofen,Moderate
DDInter384,Ciprofloxacin,DDInter900,Ibuprofen,Moderate
DDInter413,Clopidogrel,DDInter900,Ibuprofen,Moderate
DDInter900,Ibuprofen,DDInter513,Dexamethasone,Moderate
DDInter554,Digoxin,DDInter900,Ibuprofen,Moderate
DDInter561,Diltiazem,DDInter900,Ibuprofen,Moderate
DDInter624,Efavirenz,DDInter900,Ibuprofen,Moderate
DDInter638,Enalapril,DDInter900,Ibuprofen,Moderate
DDInter900,Ibuprofen,DDInter645,Enoxaparin,Major
DDInter699,Etodolac,DDInter900,Ibuprofen,Moderate
DDInter716,Felodipine,DDInter900,Ibuprofen,Moderate
DDInter718,Fenofibrate,DDInter900,Ibuprofen,Moderate
DDInter758,Fluoxetine,DDInter900,Ibuprofen,Moderate
DDInter790,Furosemide,DDInter900,Ibuprofen,Moderate
DDInter815,Gentamicin,DDInter900,Ibuprofen,Moderate
DDInter825,Glimepiride,DDInter900,Ibuprofen,Moderate
DDInter900,Ibuprofen,DDInter826,Glipizide,Moderate
DDInter900,Ibuprofen,DDInter856,Heparin,Moderate
DDInter883,Hydrochlorothiazide,DDInter900,Ibuprofen,Moderate
DDInter885,Hydrocortisone,DDInter900,Ibuprofen,Moderate
DDInter916,Indapamide,DDInter900,Ibuprofen,Moderate
DDInter972,Irbesartan,DDInter900,Ibuprofen,Moderate
DDInter1009,Ketoprofen,DDInter900,Ibuprofen,Moderate
DDInter900,Ibuprofen,DDInter1055,Levofloxacin,Moderate
DDInter1079,Lisinopril,DDInter900,Ibuprofen,Moderate
DDInter1095,Losartan,DDInter900,Ibuprofen,Moderate
DDInter1143,Meloxicam,DDInter900,Ibuprofen,Moderate
DDInter1164,Metformin,DDInter900,Ibuprofen,Moderate
DDInter1191,Methylprednisolone,DDInter900,Ibuprofen,Moderate
DDInter1200,Metoprolol,DDInter900,Ibuprofen,Moderate
DDInter1247,Moxifloxacin,DDInter900,Ibuprofen,Moderate
DDInter1254,Nabumetone,DDInter900,Ibuprofen,Moderate
DDInter1266,Naproxen,DDInter900,Ibuprofen,Moderate
DDInter900,Ibuprofen,DDInter1271,Nebivolol,Moderate
DDInter1283,Netilmicin,DDInter900,Ibuprofen,Moderate
DDInter1287,Nicardipine,DDInter900,Ibuprofen,Moderate
DDInter1295,Nimodipine,DDInter900,Ibuprofen,Moderate
DDInter900,Ibuprofen,DDInter1325,Ofloxacin,Moderate
DDInter1431,Perindopril,DDInter900,Ibuprofen,Moderate
DDInter1513,Prednisolone,DDInter900,Ibuprofen,Moderate
DDInter1515,Prednisone,DDInter900,Ibuprofen,Moderate
DDInter1539,Propranolol,DDInter900,Ibuprofen,Moderate
DDInter1707,Spironolactone,DDInter900,Ibuprofen,Moderate
DDInter1759,Telmisartan,DDInter900,Ibuprofen,Moderate
DDInter900,Ibuprofen,DDInter1802,Ticagrelor,Moderate
DDInter1809,Timolol,DDInter900,Ibuprofen,Moderate
DDInter1822,Tobramycin,DDInter900,Ibuprofen,Moderate
DDInter1915,Valsartan,DDInter900,Ibuprofen,Moderate
DDInter1916,Vancomycin,DDInter900,Ibuprofen,Moderate
DDInter1928,Verapamil,DDInter900,Ibuprofen,Moderate
DDInter885,Hydrocortisone,DDInter76,Amiodarone,Major
DDInter885,Hydrocortisone,DDInter77,Amisulpride,Moderate
DDInter79,Amlodipine,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter20,Acetylsalicylic acid,Moderate
DDInter130,Atenolol,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter212,Bisacodyl,Moderate
DDInter216,Bisoprolol,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter292,Captopril,Moderate
DDInter293,Carbamazepine,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter305,Carvedilol,Moderate
DDInter336,Celecoxib,DDInter885,Hydrocortisone,Moderate
DDInter363,Chlorpromazine,DDInter885,Hydrocortisone,Moderate
DDInter384,Ciprofloxacin,DDInter885,Hydrocortisone,Major
DDInter885,Hydrocortisone,DDInter393,Clarithromycin,Moderate
DDInter885,Hydrocortisone,DDInter474,Dapagliflozin,Moderate
DDInter885,Hydrocortisone,DDInter482,Darunavir,Moderate
DDInter554,Digoxin,DDInter885,Hydrocortisone,Moderate
DDInter561,Diltiazem,DDInter885,Hydrocortisone,Moderate
DDInter624,Efavirenz,DDInter885,Hydrocortisone,Moderate
DDInter638,Enalapril,DDInter885,Hydrocortisone,Moderate
DDInter670,Erythromycin,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter699,Etodolac,Moderate
DDInter885,Hydrocortisone,DDInter716,Felodipine,Moderate
DDInter790,Furosemide,DDInter885,Hydrocortisone,Moderate
DDInter825,Glimepiride,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter826,Glipizide,Moderate
DDInter853,Haloperidol,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter883,Hydrochlorothiazide,Moderate
DDInter885,Hydrocortisone,DDInter916,Indapamide,Moderate
DDInter885,Hydrocortisone,DDInter972,Irbesartan,Moderate
DDInter885,Hydrocortisone,DDInter995,Itraconazole,Moderate
DDInter885,Hydrocortisone,DDInter1008,Ketoconazole,Moderate
DDInter885,Hydrocortisone,DDInter1009,Ketoprofen,Moderate
DDInter1018,Lactulose,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter1055,Levofloxacin,Major
DDInter885,Hydrocortisone,DDInter1070,Linagliptin,Moderate
DDInter1079,Lisinopril,DDInter885,Hydrocortisone,Moderate
DDInter1095,Losartan,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter1118,Magnesium hydroxide,Moderate
DDInter885,Hydrocortisone,DDInter1143,Meloxicam,Moderate
DDInter1164,Metformin,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter1185,Methyldopa,Moderate
DDInter1200,Metoprolol,DDInter885,Hydrocortisone,Moderate
DDInter1247,Moxifloxacin,DDInter885,Hydrocortisone,Major
DDInter1254,Nabumetone,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter1266,Naproxen,Moderate
DDInter885,Hydrocortisone,DDInter1271,Nebivolol,Moderate
DDInter1287,Nicardipine,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter1325,Ofloxacin,Major
DDInter885,Hydrocortisone,DDInter1431,Perindopril,Moderate
DDInter885,Hydrocortisone,DDInter1442,Phenobarbital,Moderate
DDInter1460,Phenytoin,DDInter885,Hydrocortisone,Moderate
DDInter1539,Propranolol,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter1590,Rifampicin,Moderate
DDInter1605,Risperidone,DDInter885,Hydrocortisone,Moderate
DDInter1607,Ritonavir,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter1679,Sitagliptin,Moderate
DDInter885,Hydrocortisone,DDInter1633,Salicylic acid (sodium),Moderate
DDInter1707,Spironolactone,DDInter885,Hydrocortisone,Moderate
DDInter885,Hydrocortisone,DDInter1759,Telmisartan,Moderate
DDInter1809,Timolol,DDInter885,Hydrocortisone,Moderate
DDInter1915,Valsartan,DDInter885,Hydrocortisone,Moderate
DDInter1928,Verapamil,DDInter885,Hydrocortisone,Moderate
DDInter1091,Loratadine,DDInter76,Amiodarone,Moderate
DDInter1091,Loratadine,DDInter336,Celecoxib,Moderate
DDInter1091,Loratadine,DDInter482,Darunavir,Moderate
DDInter561,Diltiazem,DDInter1091,Loratadine,Moderate
DDInter1091,Loratadine,DDInter624,Efavirenz,Moderate
DDInter1091,Loratadine,DDInter1607,Ritonavir,Moderate
DDInter44,Alfuzosin,DDInter1632,Salbutamol,Moderate
DDInter1632,Salbutamol,DDInter76,Amiodarone,Moderate
DDInter1632,Salbutamol,DDInter77,Amisulpride,Moderate
DDInter78,Amitriptyline,DDInter1632,Salbutamol,Moderate
DDInter130,Atenolol,DDInter1632,Salbutamol,Moderate
DDInter157,Azithromycin,DDInter1632,Salbutamol,Moderate
DDInter1632,Salbutamol,DDInter212,Bisacodyl,Moderate
DDInter216,Bisoprolol,DDInter1632,Salbutamol,Moderate
DDInter1632,Salbutamol,DDInter305,Carvedilol,Major
DDInter363,Chlorpromazine,DDInter1632,Salbutamol,Moderate
